_Male, type occidental, obèse, pas de consommation d'alcool du tout, gros fumeur (invétéré !).Je vais atteindre 60 ans dans deux mois. Je pense reconnaître les symptômes d'un cancer pancréatique ou d'une pancréatite chronique, après un début de diabète apparu il y a quelques mois, avec lourdes douleurs lombaires dûes à une hernie discale (L5-R1?) vieille de deux ans, avec;;;;;;;
a la suite d'une otite séreuse, il a été décelé un acouphène pulsatile côté oreille droite. j'ai subi une intervention - embolisation de fistule durale intra-cranienne en mars 2010; A la suite un autre acouphène et apparu côté gauche . Après diagnostic du chirurgien j'avais une sténose a la veine ce qui a entrainé une 2éme intervention en Juillet 2010 . Pose d'un stenting du;;;;;;
A l'IRM on m-'a diagnostiqué un hypersignal. Qu'est que c'est? Cela peut il expliquer des problèmes musculaires aux jambes et des fourmillements. Est-ce le signe d'une pathologie? Peut-il être bénin?;;;;;;;
A propos du site internet Psychoactif.org La liberté de pensée et la liberté d'expression sont fortement encadrées dans le but de : - contrôler les toxicomanes depuis cette plateforme communautaire - obtenir des dons d'argents régulièrement - entretenir la secte intérieure parano-altruiste axée sur la politique et la consommation de drogue - un contrôle de l'image compétente;;;;;;;
Aidez moi svp on m'a posé un appareil dentaire classique (bagues) et l'Orthodentiste a dit qu'on devait me mettre un ''pate'' pour ne pas que je morde mon appareil et le casser , elle a mis une pote mole sur l'avant dernière molaire que j'ai croqué puis elle a durcis et elle a parlais qu'elle devait partir seule mais quelqu'un peut me dire au bout de combien de temps car c'est;;;;;;;
"Alors tout d'abord bonjour, Je suis un homme de 18ans et j'ai un problème au niveau de mes tétons. En effet, ces derniers ""gonfles"" naturellement (généralement au contact de la chaleur) et le seul moyen de les dégonfler est de les pincer ou de les mettres aux contacts du froid. J'ai chercher des réponses des semaines sur les forums, j'ai rencontré plusieurs personnes ayant mon";;;;;;;
après avoir pris connaissance des discussions sur la cirrhose alcoolique, je suis très étonnée, que des témoignages des familles mais aucun de malades concernés.................. C'est pourquoi, je lance celle-ci JE SUIS ALCOOLIQUE ABSTINENTE J'AI UNE CIRRHOSE ALCOOLIQUE QUELLES EN SONT LES SUITES? voilà je l'ai dit, ce n'est pas toujours facile, car on craint les;;;;;;;
après avoir pris connaissance des discussions sur la cirrhose alcoolique, je suis très étonnée, que des témoignages des familles mais aucun de malades concernés.................. C'est pourquoi, je lance celle-ci JE SUIS ALCOOLIQUE ABSTINENTE J'AI UNE CIRRHOSE ALCOOLIQUE QUELLES EN SONT LES SUITES? voilà je l'ai dit, ce n'est pas toujours facile, car on craint les;;;;;;;
après une opération à coeur ouvert pour l'mplantation d'une valvule pour une patiente célibatère de 26 ans, quelles sont les précautions à prendre ou plutôt le régime alimentaire à suivre pour garder l'équilbre de k+ dans le sang?;;;;;;;
athenatgzh@gmail.com;;;;;;;
Avez vous déjà été ratrappé par le temps? Avez vous eu des regrets par rapport à un choix de vie? Héh bien c'est ce que je ressent maintenant. Dans ma jeunesse j'ai privilégié ma carriere au lieu de fonder une famille. Je me suis dit que une femme était épanuie d'abord par un travail stable et bien rémunéré. Je pense que j'ai eu tout faux. Me voici ratrappé par la ménopause.;;;;;;;
Avez vous déjà été ratrappé par le temps? Avez vous eu des regrets par rapport à un choix de vie? Héh bien c'est ce que je ressent maintenant. Dans ma jeunesse j'ai privilégié ma carriere au lieu de fonder une famille. Je me suis dit que une femme était épanuie d'abord par un travail stable et bien rémunéré. Je pense que j'ai eu tout faux. Me voici ratrappé par la ménopause.;;;;;;;
Avez vous déjà été ratrappé par le temps? Avez vous eu des regrets par rapport à un choix de vie? Héh bien c'est ce que je ressent maintenant. Dans ma jeunesse j'ai privilégié ma carriere au lieu de fonder une famille. Je me suis dit que une femme était épanuie d'abord par un travail stable et bien rémunéré. Je pense que j'ai eu tout faux. Me voici ratrappé par la ménopause.;;;;;;;
Avez vous fait de la stimulation magnetique transcranienne ? qu'est ce que vous en pensez  ,?;;;;;;;
Avez-vous expérimenté les positions du Kamasutra qui vous ont réellement aidé à tomber enceinte ? Avez-vous aussi usé d'autres d'astuces pour arriver à vos fins ? Je pense à un éventuel régime alimentaire ou à des dispositions ésotériques, aux cycles lunaires,...sans méconnaître le pouvoir des prières.;;;;;;;
bjr à tous j'ai reçu mes examen sanguin et mon cholestérol n'est pas on le fabrique de trop dans ma famille Je suis à : cholestérol total : (g/l) 3,08; (mmol/l)7,9 cholestérol hdl : (g/l) 0,75, (mmol/l)1,9 rapport cholesterol total/hdl 4,11 cholestérol ldl : (g/l) 2,00, (mmol/l)5,2 rapport cholestérol total/ldl/hdl 2,66 triglycérides (g/l) 1,66, (mmol/l)1,9 est-ce que ça peut;;;;;;
bjr a tous le monde je m appelle catherine j ai 31 ans et j ai un anneau gastrique depuis 1 an j ai perdu 28 kilos puis plus rien. je stagne a 81 kg avez vous des des conseils a me donner merci;;;;;;;
Bjr à toutes et à tous. Voilà, SVP, depuis presque un an je souffre énormément de douleurs abdominales en même temps d?un mal de dos. J?ai été consulté et fais une échographie mais on me dit que tous va bien, aucune anomalie détecté mais malgré tout de temps en temps ces douleurs reviennent et c intenable. Ce n?est pas accompagné de diarrhée ni de constipation, mon appétit est;;;;;;;
Bjr à toutes et à tous. Voilà, SVP, depuis presque un an je souffre énormément de douleurs abdominales en même temps d?un mal de dos. J?ai été consulté et fais une échographie mais on me dit que tous va bien, aucune anomalie détecté mais malgré tout de temps en temps ces douleurs reviennent et c intenable. Ce n?est pas accompagné de diarrhée ni de constipation, mon appétit est;;;;;;;
bjr depuis des années j ai des troubles du sommeil c est a dire que lorsque je me couche ,je m endors et vais dormir d un sommeil profond durant environ 3 petites heures, et par la suite je fais des cycles irrégulier ou je me réveille et je redors d un sommeil très léger bcp de mes amis me disent dormir d un trais toute la nuit jusqu au réveil matin. je les envis car cela me m;;;;;;;
Bjr Depuis quelques semaines sur les 2 avant bras j ai une sensation d inconfort veineux. Que ça tire. J ai fais des prises de sang mais le doc n a rien trouvé hormis une hypothyroidie très legere il y a 3 semaines ..medicamentee par du levotyrox..et qui est revenue à la normale.. Elle a pris ma tension et battements de coeur .. Je ne travaille pas en ce moment A preciser que;;;;;;;
